OUI,vendor
6a:9d:a4,Global Reach Technology
3a:78:ca,SoundTalks NV
6a:5c:35,Secrétariat général de la défense et de la sécurité nationale
3a:f5:21,BSG Wireless
4a:c0:3f,"WUHAN HIKSTORAGE TECHNOLOGY CO.,LTD"
6a:40:65,Open Connectivity Foundation
da:a1:19,"Google, Inc."
aa:38:c7,Kaloom inc
ca:30:bf,IEEE 802.1 Working Group
fa:16:19,trendytech
fa:61:0e,"Laboratory for Computational Sensing and Robotics, Johns Hopkins University"
fa:63:e1,Samsung Electronics (UK) Ltd
8a:34:bc,Fiberworks AS
da:ff:6b,Team Precision Public Company Limited
7a:4b:a4,Innostor Technology Corporation
9a:56:4b,Cubix Corporation
ea:34:b4,ThinkRF Inc.
ba:4d:ea,Environexus
ea:b8:9b,"Thread Group, Inc."
7a:84:f0,"McDowell Signal Processing, LLC (dba McDSP)"
ba:a2:d0,Wireless Broadband Alliance Ltd
ba:f2:1c,ISO/TC22/SC31
da:0d:38,"Farpointe Data, Inc."
da:c8:7d,SE Development AB
0a:e4:71,Caterpillar Inc.
5a:cb:d3,Simaudio Ltd
fa:2e:e9,"OCA Alliance, Inc."
3a:a3:f8,IEEE 802.1 Working Group
fa:94:f1,IEEE 802.1 Working Group
3a:02:92,Video Electronics Standards Association
fa:e5:1a,RSAE Labs Inc
da:28:ec,HG Genuine
4a:19:1b,ZigBee Alliance
8a:00:b0,"Eoptolink Technology Inc. Ltd,"
3a:ba:37,Cirrent
9a:1b:22,"InfoCore Co.,Ltd."
aa:0f:85,Yamaichi Electronics
0a:87:36,IEEE 1901 Working Group
9a:d2:63,"FirmTek, LLC"
2a:fd:6a,Charter Communications
fa:d9:88,Momentum Data Systems
ea:11:5d,AUTOVISION TECHNOLOGY INC.
1a:bb:fb,UHD Alliance
ea:2a:db,Labs Network Industrie 4. 0 e.V.
ba:c4:85,Fraunhofer IIS
fa:ba:85,"APAT Optoelectronics Components Co., Ltd."
8a:cb:a4,Resideo
6a:b6:f2,Eli Technology Inc
fa:eb:6e,xRAN.org
4a:5a:6f,Applied Materials
ea:60:76,"CloudSimple, Inc."
6a:0e:20,"GeoFrenzy, Inc"
ca:12:5c,Microsoft Corporation
ba:55:ec,IEEE 802.15
ba:30:54,George Wilson Industries Ltd
fa:14:66,Allegion PLC
ea:e0:d9,Berk-tek LLC
1a:75:fb,AUTOSAR
ca:e5:05,Mobilitie
fa:55:6f,SymbolicIO
3a:35:41,Raspberry Pi (Trading) Ltd
8a:fb:16,"TeraByte, Inc."
ba:41:59,ANAPASS INC.
6a:1f:6c,"iPass, Inc."
3a:cf:c5,Quickline AG
ea:dd:88,"IEEE PES-PSRC Working Group H3, PC37.237"
4a:07:d6,IEEE 802.1 Working Group
2a:ea:15,Tibit Communications
7a:fd:44,Rosenberger Hochfrequenztechnik GmbH & Co. KG
5a:e6:60,nyantec GmbH
da:1c:21,Sesam GmbH
8a:da:26,Eleven Inc.
4a:72:06,"CAIRE, Inc."
9a:ad:ca,Credo
3a:5e:03,"Cirrus Data Solutions, Inc"
9a:b2:f8,SFF Committee
fa:f9:c0,RAID Incorporated
fa:e1:90,IN WIN DEVELOPMENT INC.
4a:da:10,Emotiva Audio Corp
7a:ab:77,Orange
fa:07:3e,NBASE-T Alliance
ca:44:6c,"Cypress Computer Systems, Inc."
fa:4c:77,OCCITALINE
da:41:62,Xperi Corporation
4a:7f:74,INTEC Inc.
8a:a5:c1,Ranovus USA
ca:8f:a5,"Advanced TS Migrations, Co"
aa:54:8b,Tintri
8a:b3:da,"HomePlug Powerline Alliance, Inc."
da:2b:dd,"AT&T, Inc."
8a:c7:2e,"Roku, Inc."
ca:c8:7e,Allen Organ Company
ea:9f:b1,Philips International B.V.
6a:73:7d,25G Ethernet Consortium
6a:e6:4a,S&O Electronics (Malaysia) Sdn. Bhd.
4a:ca:3e,ZEUS
ea:be:a7,"Sonos, Inc."
0a:cd:8f,Cisco Systems Norway
fa:66:73,NELLS ELECTRONIC SYSTEMS (NES)
ca:2b:5e,"Suzhou Motor-comm Electronic Technology Co.,Ltd"
